Proverbs,Explanation
حمار تبتل عليه ولا جمل يهدر عليك.,يقال للرجل الضعيف الذي نستطيع أن نقضي به حاجتنا.
اضرب الوطاف يفهمك الحمار.,يضرب لمن يريد محاسبة الآخرين أن يضرب بقوة حتى يكون للضرب صدى.
الحجر من السيله والدم من راسك.,للدلالة عل ضرورة الخسارة لطرف معين.
حراوة يهود لو تقلقلت عطلت.,يقال في الشيء عندما ينحرف عن مساره الصحيح. حراوة: زواج، تقلقلت: تحركت.
ادي مسبّي جنبي ، ويرحم كلاً في طبعه,ادي مسبّي جنبي ، ويرحم كلاً في طبعه يضرب هذا المثل لمن يدحّن أو يتجنب المصائب ويؤثر السلامة من الوقوع في المشاكل . و يُقال أن قصة المثل هي أن أحدهم كان مسافراً و نزل في سمسرة و وضع المسبّ الذي يمتلكه في الرف الذي فوق راسه. و حين حل المساء وضع رأسه على وسادته و ذهب في نومٍ عميق. وبعد قليل أحس بحركه قريبه منه، فرفع بصره، فوجد مسافر آخر يقف بجنب المسبّ الذي يمتلكه. فأخذ صاحب المسبّ مسبّه في حضنه وقال أدي مسبّي جنبي ويرحم كلاً في طبعه
بارك الله فيما اجتمعت عليه الأيدي,بمعنى أن الأكل القليل يكفي الكثير لو أجتمعوا واكلوه مع بعضهم و بالعكس انه لن يكفي اذا اكلوه متفرقين
لا قدك بين المطر لا تبالي بالطَرْشْ,الطَرْشْ – رذاذ المطر او رذاذ الماء المطر هنا رمزٌ لما تواجهه في الحياة من تحدياتٍ وصعوبات. فإن كنتَ في خضمِّها، فلماذا تُزعج نفسك بتفاصيلٍ هي نتيجة طبيعية لوجودك فيها؟ الحياة ليست دائمًا سماءً صافية، وقد تجد نفسك تحت وابلٍ من المشكلات أو في دوامةٍ من الأحزان. لكن إن أدركتَ أن القلق من التعرض لأثار تلك المشاكل لا يُضيف شيئًا جديدًا لحالك، بل هو انعكاسٌ لما أنت فيه، ستهدأ روحك وتستجمع قواك. لا تجعل التفاصيل الصغيرة تسرق منك طاقتك، ولا تدع نتائج ما تواجهه تُضعف عزيمتك.
يدور الحبل، والبقره ضايعه.,يضرب هذا المثل لشخص يهيئ لأمر، لكنه مرتبط بأمر أكبر منه لم يتحقق بعد.
بيتعلم الحلاقة في روس القضعان,بيتعلم الحلاقة في روس القضعان يقال هذا المثل للشخص الذي يستغل الضعفاء أو السذج ليتدرب و يتعلم عليهم. أقضع يعني أقرع و هو الشخص الذي لاشعر في رأسه بتاتا خلاف الأصلع اللي باقيات له شعرتين. . .
زائر ولي مطلبه.,يضرب للذي يزور أحدًا وله مقصد من زيارته.
عس قلبك وقلب غيرك مثلك,عس – المس هذا المثل عبارة عن تعبير مجازي يشجع على التعاطف و تفهم منطق الاخرين. حيث يقترح على المرء أن يحاول فهم تجارب الآخرين ومشاعرهم ووجهات نظرهم قبل إصدار الأحكام أو تكوين الآراء عنهم. ومن خلال تخيل المرء نفسه في موقف شخص آخر، يمكن للمرء أن يكتسب نظرة ثاقبة لأفكاره وعواطفه ودوافعه، مما يعزز الرحمة والتعاطف و التفاهم بين الناس. أيضا يؤكد هذا المثل على أهمية النظر من منظور الآخرين لتعزيز الاحترام المتبادل والتسامح في العلاقات و في المجتمع ككل.
صامت صومه، وفطرت على ثومه.,يقال هذا المثل عن امرأة ماطلت وتأخرت في الزواج، ثم تزوجت برجل لا تنطبق عليه شروطها التي كانت سبباً في تأخيرها.
احْنَا بعرسكم ، و أنتم بمعزانا,من أمثال منطقة عتمة. واحنا : نحن. بمعنى نتمنى لكم الخير، و انتم تتمنون لنا الشر.
حمار ليضه.,يضرب لمن يكشف سريرته في حين لا يعلمها إلا هو. مكان محاط بالأثل والأراك. ومناسبة المثل: أن حمارا كان في مكان يسمى ليضة فأسدل الليل ستاره، وهذا الحمار داخل المكان المحاط بالأثل والأراك. فنهق الحمار من داخل المكان فسمعه ضبع، تى متحسسا على صوته فأكله، فكان صوته دليلا على نهايته.
مداراة المرة ولا مداراة أهلها,ويعني أن طلب رضا الزوجة في منزل الزوجية أسهل و أفضل من طلب رضا أهلها في حال غضبها و ذهابها لبيت أهلها و في روايات أخرى : – مراشات المرة، ولا مراشات أهلها – حب ركبة مرتك في بيتك ولا تحب رأسها في بيت اهلها – حب رأس مرتك وهي في بيتك؛ ولا تحب ركبة عمك وهو في السوق
الطبع غلب التطبع,"الطبع غلب التطبع يعني هذا المثل أن الصفات الطبيعية التي يولد بها الإنسان تتغلب على الصفات التي يكتسبها من البيئة أو التربية أو التعلم. ويستخدم هذا المثل للتعبير عن عدم قدرة الإنسان على تغيير طباعه الأساسية بسهولة، خاصة إذا كانت سيئة أو مضرة. ويقال أن هذا المثل مأخوذ من قصة قديمة عن ملك ووزير ورجل جاء بقطط مدربة على حمل الشموع، ولكن عندما أطلق الوزير فئراناً أمامها، تركت القطط الشموع وركضت وراء الفئران، فقال الملك: الطبع غلب التطبع. أمثال مشابهة , , , , . , ’ . , , . , , , , ."
من سري لك بكر له.,للدلالة عل تزامن الرد.
البرد لشباط والتهمه لكوانين.,يضرب للشخص الذي غالبا ما تُنسب إليه الأفعال السيئة وهو بريء منها، بينما الفاعل الحقيقي شخص آخر.
خذ بقره من بين ذاد ومره من بين رجال.,يضرب في طلب المرأة المهذبة.
لا تأمن الدولة ولو كانت رماد.,يقال لمن يستخف بالأمور.
لقدك سارح كثر بالفضائح.,يضرب للرجل الذي يكون كثير المشاكل والفضائح.
زبيبه وبجحرها عود.,يضرب لمن أعطى شيئا قليلا وأتبعه بمن. زبيبة: يقال في اللهجة الحالمية على واحدة الزبيب، بجحرها: بمؤخرتها، عود: بقايا الساق التي كانت تنمو عليها.
ما تعمل المرة الكاملة فـي البيت العطل,المرة : المرأة العطل : الفاضي او الفارغ. يضرب هذا المثل في عدم جدوى أو إنعدام الفائدة من وجود الكفاءات العالية في بيئة غير مشجعة على الإبداع.
الشيء بأسلوبه، والا اجدلو به.,يقال هذا المثل عن شخص يتناول الأمور بطرق خاطئة.
يسكب في جحله منقوع.,يضرب للرجل الذي تعطيه النصيحة فلا يعيها. الجحلة: وعاء من الطين لحفظ الماء. يسكب: يصب. منقوع: مثقوب.
المتبتل تنخل للعقر.,يضرب للشخص الذي يحسن التصرف مع انعدام الوسائل التي تعينه على ذلك. المتبتل: الذي يحسن التصرف، تنخل: من نخل أي الذي يجلجل التراب وينقيه، العقر: أسفل القميص الذي تلبسه المرأة الريفية.
حجره من القاع والدم من رأسه.,يضرب لمن لم يستمع النصح. القاع: المقصود به الأرض، بمعنى أنه هو الخاسر وليس الناصح.
من شفا البير ولا من قعرها,شفا البير – أعلى البئر الهمزة على الياء في بعض المناطق يتم استبدالها بالياء فالبئر تنطق بير و الذئب ينطق ذيب … الخ. المثل يأتي بمعنى أنه من الأفضل أن تغترف الماء من أعلى البير لصفاءه و نقاوته من أن تغترفه من أسفلها. ذكرني هذا المثل بمقولة زرعها أبي في و أنا جاهل طفل صغير كان يرددها على مسمعي من الحين إلى الآخر تعلم تأكل من عروشها بمعنى خلي طموحاتك عالية في هذه الحياة.
من أجل عين تكرم مدينة,المعنى: أن سعادة البلاد قد تتحقق من خلال شخص واحد
فرحنا بلعمى يآنسنا دحرج عيونه وفجعنا.,يضرب للذي تفرح به وترجو إعانته لك فينقلب عليك. دحرج: أخرج عيونه وجحظ بها للتخويف، فجعنا: خوفنا، يآنسنا: يؤنسنا.
خذوها من أفواه المجانين والأطفال,يأتي هذا المثل بمعنى أنه في بعض الأحيان، يمكن أن تأتي الحقائق الأكثر صدقًا و تحققا من الأشخاص ذو الأرواح الصافية و الضمائر النقية ، مثل الأطفال أو المجانين.
كل شاة معلقة برجلها,يعني هذا المثل أن عواقب أفعال المرء ترجع إلى سلوكه. بمعنى آخر، كل شخص مسؤول عن أفعاله، وسيواجه نتائج تلك الأفعال، وليس نتائج أفعال الآخرين.
ياما تحت السواهي دواهي.,للدلالة عل إصدار الأشياء غير المتوقعة من المصدر.
طريق العز مشوك,"طريق العز مشوك طريق العز مش بسيط لازم تضحي بأشياء كثيرة من أجل الوصول للعز و الكرامة. , . ."
اقلع بصلي واغرس ثومي,بصلي و ثومي مفرد بصل و ثوم على التوالي.يستخدم هذا المثل لوصف الموقف حيث يهرب فيه الشخص من وضع سيء، لينتهي به الأمر في وضع أسوأ، أي مثل استبدال شيء سيء بشيء أسوأ. غالبًا ما يتم استخدامه للتحذير من اتخاذ قرارات متسرعة قد تؤدي إلى عواقب غير مقصودة.
العز في الطاعة والغنى في القناعة,يشير هذا المثل إلى أن عزة الإنسان في طاعة ربه و غناه في قناعته. أيضا يؤكد هذا المثل أن إيجاد الرضا والطمأنينة فيما تملكه أغلى من جمع الثروة، ويشير إلى أن السعادة الحقيقية تأتي دائما من الداخل، ولا تأتي أبدا من الممتلكات المادية.
من بلل ذقنه حلقه.,للدلالة عل ارتباط مهمة با قبلها وتكملة العمل.
تبيع القرية ما يحبلش,تبيع القرية ما يحبلش جرت العادة في القرى اليمنية أن الأشخاص الذين لديهم أبقار و ليس لديهم ثور أن يتم إرسال ابقارهم للتلقيح في القرى المجاورة و ليس في نفس القرية لا أدري ما هو السبب. بغض النظر عن المعنى الحرفي لكن هذا المثل يضرب في الأشخاص الذين لديهم عقدة الأجنبي “عقدة أن الغريب دائما أفضل”. حيث أن الأشخاص الذين يعانون من هذه العقدة التي تشبه إلى حد ما عقدة النقص ينظرون إلى ان أي شيء أجنبي هو يا لطيف و جودة ممتازة سواء لبس اكل تصرفات الخ. روايات أخرى للمثل
من شابه أباه فما ظلم أمه,يضرب هذا المثل في تشابه الولد لأباه في الطباع و الصفات و التفكير في الغالب.
السكتة درب الأخجف,"السكتة درب الأخجف بمعنى أن السكوت أو الصمت للشخص الأبلة هو أفضل نصيحة حتى لا ينكشف جهله و غباؤه. بالإنجليزية . , ’ ’ . ."
خل كلامك ليوم العيد.,يضرب للشخص الذي يتكلم كلاما رديئا. خل: من البقاء.
حبل الدوام قطع في الحجر.,يضرب لمن يداوم على عمل ما لا يكل ولا يمل ثم يؤتى ثأره.
ربي لك حنش في الجيب يصبح لك غريم.,يضرب للرجل الذي يصبح عدوًا لمن رباه وأكرمه.
فلان يومه عيده,يضرب هذا المثل في من يصرف ماله الذي يحصل عليه كل يوم بيومه دون أن يدخر شيئا.
حيث ما غلست، باتت.,يقال هذا المثل لمن ينام في أي مكان دون مبالاة.
ما أحد يغير لساكت,يغير – من الغارة و هي السرعة للنجدةبمعنى أن الشخص المحتاج إلى المساعدة لكن لا يطلبها ، لن يلقى من يساعده.
ساير الجمل يوديك البندر وساير الدجاجه توديك السنداس.,يضرب لمن اتبع الشخص الخطأ.
أخس الظبا أذي ترتمي مرتين,أخس – أكره ترتمي – يتم رميها يضرب هذا المثل في الشخص الذي ما يتعلم من أخطائه السابقة و يكرر نفس الأخطاء.
مُخَزِّن بقلاية,مُخَزِّن – ماضغ و تستخدم فقط مع القات القلاية – حبة الفول يُضرب هذا المثل في من يفرح بالاماني و إن كانت بعيدة المنال.
من جابرك بالضحك ما جابرك بالبكاء,بمعنى أن من يشاركك في الضحك قلما يشاركك البكاء والحزن ويساق هذا المثل لمن لا وفاء له ولا اخلاص
الأعور في بلاد العميان فاكهة ملك,يضرب هذا المثل في أنه حتى الشخص ذو القدرات و الخبرات المحدودة يعتبر مميزًا و يكون مسيطرًا على أولئك الذين لديهم قدرات أقل.
قد به ولا مابش,هذه المقولة تعني أنه أحيانا من الأفضل أن يكون لديك القليل من شيء ما من أن لا تملك أي شيء على الإطلاق. حيث يمكن استخدام هذه المقولة في العديد من المواقف المختلفة في الحياة. على سبيل المثال، من الأفضل أن تشتغل أي حاجة بأي أجر من أن تكون عاطلاً عن العمل، أو أن تأكل وجبة صغيرة بسيطة بدلاً من البقاء جائعاً .
ذي ياكل و ما يحسبش، يفقر و ما يدراش,"ذي ياكل و ما يحسبش، يفقر و ما يدراش ويعني هذا المثل أن الشخص الذي ينفق بإسراف و تبذير دون النظر إلى المستقبل و العواقب قد يقع دون قصد في حالة الفقر. ويؤكد هذا المثل على أهمية الاستهلاك الواعي والتخطيط المالي. وبدون حساب أو ميزانية مناسبة، قد يستنفد المرء موارده ويصبح فقيرًا دون أن يدرك كيف حدث ذلك. هذا المثل بمثابة تذكير بأن نكون واعين لأفعالنا وآثارها المحتملة على المدى الطويل. بالإنجليزية . . . , . ."
قيّم الحساب تدوم الصداقة,بمعنى لتدوم الصداقة لازم المحاسبة بين الاصحاب و تجنب المماطلة في حالة تدين أحدهم من الأخر.
ما صغر على راسك كله.,للدلالة عل تحديد ما يمكن أن تستسيغه. للدلالة عل قدم اكتساب الطبع والصلابة.
سقطه بلقطه.,للدلالة على محاولة الحصول على الشيء دون تدبير.
من قال لك عُود قُل له خازوق,يقال هذا المثل في الحث على رد الإساءة بما هو أكبر منها حتى يرتدع المسيء
يا آكل المن والسلوى، خلقي وخلقك سوا,يأتي هذا المثل بمعنى ان تفاضل الناس و اختلافهم بالتقوى و الأخلاق الكريمة و ليس بالغنى و سعة الرزق .
ديمه قلبنا بابها.,يضرب للأمر المتشابه مضمونا المختلف شكلا. قلبنا: حولنا.
من أكل على البصيلة سنة، أكل على العسيلة سنين,البصيلة و العسيلة تصغير للبصل و العسل على الترتيب.ويعني هذا المثل أنه من أجل تحقيق الرخاء، يجب على المرء أن يعاني و يعمل بجد.
مابيقولوا في السماء؟,يقال في أصل هذه المقولة أن رجلا أعور سأل امرأة طويلة تهكما و تنمرا على طولها “مابيقولوا في السماء؟” كناية عن طولها و أن باستطاعتها مخاطبة ساكني السماء. المهم هي ردت عليه تهكما: فاتحين فرده و مغلقين فرده، كناية عن نظره بعين واحدة. التشبيه هنا مثل الطاقة النافذة التي تُفتح بمصراعين حيث يطلق على كل مصراع ب الفرده. الخلاصة: لا تدع أي إنسان يسخر من جسمك من شكلك من لونك أو حتى من أصلك لأنه لا يحق له. أيضا علموا أبنائكم هذه المقولة “من قلك عود قله خازوق” لان هذه الطريقة الوحيدة لإيقاف المتنمرين.
من جالس جانس.,للدلالة عل اكتساب السلوك بالتأثر من الآخرين.
ديك يقاقي ورجله فمخرا,يقاقي – من المقاقة أي صياح الديك. 🪶 ملاحظة: المقاقة في لهجات دول الخليج قد تحمل معنى مختلف. فمخرا – في الخرا. 🪶 ملاحظة: اللهجة التهامية تستخدم “الطمطمانية” أو “أم الحميرية” ، وهي ظاهرة صوتية لغوية قديمة من اللغة الحميرية حيث يتم إبدال لام التعريف ميما. ف القمر ينطق امقمر و الفجر ينطق امفجر … و هكذا. هذه اللهجة و هذا الاستخدام منتشر حاليا في تهامة و عسير و جازان. يضرب هذا المثل في الشخص الوضيع الذي يغتر و يتباهى بنفسه.
لا تكحل عين وتعور عين.,يقال عند طلب المساواة والعدل بين الناس.
ما حد يعادي العصاده.,يضرب للشخص الذي يعادي آخر يستطيع أن ينال منه. ما حد: أي لا أحد، العصادة: أي المرأة التي تعمل العصيد.
لنطل السماء شل ملء ثوبك.,للدلالة عل مساواة همك بهم الآخرين والتخفيف من الهم. نطل بمعنى سقط.
ذي ما نفع أمه ما نفع خالته.,يقال للإنسان الذي لا يُرجى منه فائدة.
من ركب على جملين اشترخ,اشترخ : انقسم جسمه لنصفين ويضرب هذا المثل لمن يريد الجمع بين عملين في آن واحد
كُلِّه كُبْد يا جاره، قومي إدِّي شَقَا الوِقَّارَة,كُبْد – عناء و مشقة قوم – إنهض إدِّي – اجلبي شَقَا – اجرة الوِقَّارَة – تخشين الرحى عندما يصبح المطحن الحجري أملس مع كثرة طحن الحبوب و مع مرور الزمن جاره – كان يهود إب يطلقون على أي شخص لا يعرفونه من المسلمين ب الجار أصل المثل أن امرأة في إب استدعت يهوديًا ليعمل الوِقَّارَة. فلما أفرغ من عمله بدأت تقص عليه متاعب الحياة و كثرة الديون قصدها إن اليهودي سيسامحها في الأجرة. المهم اليهودي خلاها تكمل قصتها و بعدها قال هذا المثل “كُلِّه كُبْد يا جاره، قومي إدِّي شَقَا الوِقَّارَة”.
ضربني وبكى وسبقني واشتكى.,يضرب للرجل الذي يكون دائم الحيلة والخداع.
زين خشبه ترجع عجبه.,يضرب المثل في رعاية الشيء لتزيينه ونموه. خشبة: بمعنى شيء بجمادي لا قيمة له، لكن بالإصلاح والرعاية يصير شيئا جميلا وعجيبا، ترجع عجبة: تصير عجيبة.
إذا بيت الله بيوطل، فأين عاد الكنان”,بيت الله بيوطل – سقف المسجد يسرب ماء أثناء المطر الكنان – الاحتماء من المطر بمعنى إذا كان اللجوء إلى بيت الله لا يقي من هلجة المطر فأين السبيل. هذا المثل يلمح بشكل غير مباشر كيف كانت حرمة أماكن العبادة مقدسة عند اليمانيين و العرب عمومًا و من العيوب التي قد تندرج تحت العيوب السوداء أن يتم انتهاك حرمة بيت من بيوت الله. حيث إذا التجأ واحد لبيت من بيوت الله لا يحق لأي شخص أيا كان أن يمسه بسوء ما دام ملتجئ فيها، حتى لو عليه ما عليه.
رب لك حنش يلقعك.,للدلائة عل حصول السوء ممن ترعاه.
سلاحك أقرب من أخوك,و المعنى أن سلاح المرء أسرع إلى نجدته من إخوانه وأصحابه. ففي الأوقات الصعبة، يمكن أن يكون السلاح الذي يحمله الإنسان أكثر فعالية في حمايته من الأشخاص الذين يعتبرهم أصدقاء أو أقرباء. السلاح يمكن أن يكون أداة حماية قوية، ولكنه يتطلب استخدامًا حكيمًا ومسؤولًا. وفي النهاية، القوة الحقيقية للإنسان تكمن في قدرته على استخدام عقله وقلبه بحكمة، بغض النظر عن الأدوات التي يحملها في يده.
وجه مثل الصفا وعيون مثل الحصا.,يضرب للذي لا حياء فيه ولا مروءة. مثل الصفا: لا يعرق.
ذي ما يزرب ويمنع له المنايا تجيله,يزرب: من الاسم زرب والزرب هي الاغصان التي يكون فيها الاشواك الكبيرة وهي اغصان شجرة السدر. له المنايا تجي له: بمعنى الذي لا يتعب ويجتهد ويحافظ على أشيائه سوف يخسر كل شي ويضيعه. هذه المثل ينسب إلى الحُميد أبن منصور رجل حكيم عايش الوقت وسايره تضرب به الاحكام والامثال. هذا المثل القديم يضرب في شد العزيمة والاجتهاد وعدم التخاذل. من الامثال الشعبية الخاصة بمحافظة الضالع.
كل زبيبه بجحرها عود.,يقال للشخص الذي يشكو من المصائب.
من رقع ما عِري ومن نَيَل ما بِلي,هذا المثل يدل على حرص الإنسان في استغلال ملابسه و النيله هي صبغه كانت تستخدم لتجديد الألوان للملابس
قوله وصميله,ويقصد بالمثل فرض الرأي بالصميل أو القوة والصميل عصا غليظه تستخدم للضرب والدفاع عن النفس
ضمرك الحسد مثل التيهم.,يضرب لمن يخفي شيئا عن الناس وهم عارفون به. ضمرك: كلمة تنحمل معنى الاستفهام، بمعنى هل باعتقادك، وهذه لهجة حالمية، التيهم: الضباب الذي يظهر في الصباح الباكر يغطي الجبال.
كسر الحجر وشمها والبنت طالع لامها.,يضرب للتشابه في الطباع بين الأم والبنت. لمها: لأمها.
الشجن قتل عجوز,من أمثال محافظة تعز الشجن : الفضول و سبب المثل إن إحدى العجائز سمعت صراخ في الحي فخرجت برأسها من نافذة البيت ولشدة فضولها اخرجت رأسها وجسمها لترى وتشاهد ماذا يحصل فتزحلقت يدها وهوت من النافذة وماتت .
من زحزح الحيد خربه,الحيد : الجبل يضرب هذا المثل في قوة الإنسان وقدرته على قهر الصعاب
خذ من صاحبك مره ومن سلبك جره.,يضرب المثل في الأخذ بالتجربة والتفريق فيها بين الصديق والسلاح. صاحبك: صديقك وخليلك، سلمك: عتادك أو سلاحك، جرة: اسم مرة من جر بمعنى أخذ.
دبر رز.,يضرب لمن تكثر فيه النوازل. دبور: لهجة حالمية تعني النكد والبلاء، رزينة: اسم امرأة اشتهرت بكثرة البلاء والحزن؛ مات زوجها وأولادها وأبوها وأمها وإخوانها.
السفر يسفر عن أخلاق الرجال,بمعنى إذا اردت ان تعرف معدن الرجل فسافر معه.
من ذي ترجمش وأنتي عندنا عصيدة,من أمثال بني سيف من قضاء يريم يقال إن أحدهم نزل عند ناس فأكرموه وقدموا له الترجمانه حين سمع اسمها ظن أنها طعام غريب لم يتذوقه من قبل فلما رفع الغطاء عنها وجدها عصيده فقال المثل بمعنى من سماك ترجمانة وانتي عندنا عصيدة ♔برنسســــيسهہء♔ ♛┊↺ ↺┊♛ 〰〰〰➰〰〰〰
الجايات أكثر من الرايحات,يقال هذا المثل للشخص الذي يخسر أو يفوته شيء ما. حيث يقال له هذه المثل للتخفيف من ألم الخسارة و الفقد و أيضا لإعطائه الأمل بأن القادم أجمل و أفضل.
املأ البيت كبا ولا تمليه نسا,كبا – الوقود الذي يصنع من فضلات الحيوانات و يصنع على اشكال دائرية.في المثل تحذير من الإكثار من الزواج بأكثر من واحدة ، لكثرة المشاكل التي قد تنشأ من وجود الضراير في منزل واحد.
آخرة الأخوة عيال عم,بمعنى قد يصل الوضع بين الأخوة في حالة وجود مشاكل بينهم الى يتعاملوا بينهم البين كعيال عم.
